"AIC";"Stability";"Predictor";"ID"
"108";763.60374938308;"Size tipping";"Spatial 
 structure";12
"109";781.054802305244;"Absolute distance";"Cover";13
"110";710.122012434077;"Absolute distance";"Cover + Spatial 
 structure";13
"111";794.274448942851;"Absolute distance";"Spatial 
 structure";13
"112";692.663271275077;"Relative distance";"Cover";13
"113";645.293731230505;"Relative distance";"Cover + Spatial 
 structure";13
"114";772.602153822799;"Relative distance";"Spatial 
 structure";13
"115";768.203942250643;"Size tipping";"Cover";13
"116";733.990314396125;"Size tipping";"Cover + Spatial 
 structure";13
"117";751.482736941309;"Size tipping";"Spatial 
 structure";13
"118";742.817322891364;"Absolute distance";"Cover";14
"119";657.281617735477;"Absolute distance";"Cover + Spatial 
 structure";14
"120";753.031894773341;"Absolute distance";"Spatial 
 structure";14
"121";655.768945605294;"Relative distance";"Cover";14
"122";600.380332010516;"Relative distance";"Cover + Spatial 
 structure";14
"123";749.437684252756;"Relative distance";"Spatial 
 structure";14
"124";805.494852171211;"Size tipping";"Cover";14
"125";774.153297297973;"Size tipping";"Cover + Spatial 
 structure";14
"126";787.902292933262;"Size tipping";"Spatial 
 structure";14
"127";755.092164550696;"Absolute distance";"Cover";15
"128";667.315727888907;"Absolute distance";"Cover + Spatial 
 structure";15
"129";761.586871986554;"Absolute distance";"Spatial 
 structure";15
"130";686.742016394895;"Relative distance";"Cover";15
"131";586.017608651826;"Relative distance";"Cover + Spatial 
 structure";15
"132";754.977041532645;"Relative distance";"Spatial 
 structure";15
"133";817.537843408196;"Size tipping";"Cover";15
"134";788.990136074374;"Size tipping";"Cover + Spatial 
 structure";15
"135";796.71749024408;"Size tipping";"Spatial 
 structure";15
"136";747.674755193871;"Absolute distance";"Cover";16
"137";663.094016960673;"Absolute distance";"Cover + Spatial 
 structure";16
"138";764.092798904404;"Absolute distance";"Spatial 
 structure";16
"139";687.360707813258;"Relative distance";"Cover";16
"140";649.982969545679;"Relative distance";"Cover + Spatial 
 structure";16
"141";738.073317185547;"Relative distance";"Spatial 
 structure";16
"142";790.940404031739;"Size tipping";"Cover";16
"143";735.876211484823;"Size tipping";"Cover + Spatial 
 structure";16
"144";749.531585645597;"Size tipping";"Spatial 
 structure";16
"145";737.098708379548;"Absolute distance";"Cover";17
"146";668.774379143159;"Absolute distance";"Cover + Spatial 
 structure";17
"147";770.225844942074;"Absolute distance";"Spatial 
 structure";17
"148";684.490664923542;"Relative distance";"Cover";17
"149";638.8185710025;"Relative distance";"Cover + Spatial 
 structure";17
"150";759.451241405323;"Relative distance";"Spatial 
 structure";17
"151";771.067053198698;"Size tipping";"Cover";17
"152";752.563934865308;"Size tipping";"Cover + Spatial 
 structure";17
"153";787.191356455328;"Size tipping";"Spatial 
 structure";17
"154";735.617398158718;"Absolute distance";"Cover";18
"155";631.891571125272;"Absolute distance";"Cover + Spatial 
 structure";18
"156";732.661096163159;"Absolute distance";"Spatial 
 structure";18
"157";654.602356647723;"Relative distance";"Cover";18
"158";583.04796849696;"Relative distance";"Cover + Spatial 
 structure";18
"159";720.787150559628;"Relative distance";"Spatial 
 structure";18
"160";785.944992291623;"Size tipping";"Cover";18
"161";745.917097830597;"Size tipping";"Cover + Spatial 
 structure";18
"162";767.842562467186;"Size tipping";"Spatial 
 structure";18
"163";695.781350310971;"Absolute distance";"Cover";19
