"ID_sim";"pcrit";"pinfer";"qinfer";"Size_tipping";"Site";"aridity";"Sand";"MF"
"1";1;0.495;0.501079693621111;0.662615840082551;0.1147;1;0.7822;2.859250805;-0.22244871
"2";2;0.43;0.436959501085374;0.779261778791623;0.064525;1;0.7822;2.859250805;-0.22244871
"3";3;0.555;0.565475859363457;0.514925325709713;0.02801875;1;0.7822;2.859250805;-0.22244871
"4";4;0.535;0.547952696715726;0.564102965578524;0.04181875;1;0.7822;2.859250805;-0.22244871
"5";5;0.505;0.512979593815386;0.636547653971828;0.0522625;1;0.7822;2.859250805;-0.22244871
"6";6;0.484634643171038;0.489634643171038;0.686835139624826;0.1597875;1;0.7822;2.859250805;-0.22244871
"7";7;0.455;0.461631192735597;0.736499435083015;0.08218125;1;0.7822;2.859250805;-0.22244871
"8";8;0.434411221943171;0.439411221943171;0.774982650826576;0.06399375;1;0.7822;2.859250805;-0.22244871
"9";9;0.47;0.479985356853622;0.704978838648418;0.060925;1;0.7822;2.859250805;-0.22244871
"10";10;0.52;0.527682742948104;0.605156992572212;0.088625;1;0.7822;2.859250805;-0.22244871
"11";11;0.47;0.476132364026154;0.709008323675803;0.06378125;1;0.7822;2.859250805;-0.22244871
"12";12;0.533296156168742;0.538296156168742;0.578720272237936;0.10876875;1;0.7822;2.859250805;-0.22244871
"13";13;0.491739000544659;0.496739000544659;0.665907593283444;0.07883125;1;0.7822;2.859250805;-0.22244871
"14";14;0.51395988180187;0.51895988180187;0.624439487929073;0.120325;1;0.7822;2.859250805;-0.22244871
"15";15;0.495;0.501079693621111;0.662615840082551;0.11968125;1;0.7822;2.859250805;-0.22244871
"16";16;0.525;0.538188090268373;0.583650511957872;0.0390375;1;0.7822;2.859250805;-0.22244871
"17";17;0.458827045564893;0.463827045564893;0.732544398317656;0.12624375;1;0.7822;2.859250805;-0.22244871
"18";18;0.463846519983187;0.468846519983187;0.721501532945307;0.037625;1;0.7822;2.859250805;-0.22244871
"19";19;0.53;0.541290445504167;0.578611085242643;0.068775;1;0.7822;2.859250805;-0.22244871
"20";20;0.439860190880864;0.444860190880864;0.764449730403437;0.03250625;1;0.7822;2.859250805;-0.22244871
"21";21;0.535;0.541290445504167;0.578611085242643;0.124875;1;0.7822;2.859250805;-0.22244871
"22";22;0.433499199405089;0.438499199405089;0.773995828423654;0.043725;1;0.7822;2.859250805;-0.22244871
"23";23;0.503654863148426;0.508654863148426;0.64154110630854;0.1049625;1;0.7822;2.859250805;-0.22244871
"24";24;0.495;0.501079693621111;0.662615840082551;0.1003875;1;0.7822;2.859250805;-0.22244871
"25";25;0.455;0.461313436278553;0.742884721052562;0.1443;1;0.7822;2.859250805;-0.22244871
"26";26;0.495630409282128;0.500630409282128;0.658158206810801;0.10576875;1;0.7822;2.859250805;-0.22244871
"27";27;0.491739000544659;0.496739000544659;0.665907593283444;0.0260375;1;0.7822;2.859250805;-0.22244871
"28";28;0.455;0.461631192735597;0.736499435083015;0.0651125;1;0.7822;2.859250805;-0.22244871
"29";29;0.489759500269488;0.494759500269488;0.676439578748251;0.151425;1;0.7822;2.859250805;-0.22244871
"30";30;0.45;0.456971313754459;0.747801217317299;0.16221875;1;0.7822;2.859250805;-0.22244871
"31";31;0.49;0.498284537715167;0.670557434478956;0.09310625;1;0.7822;2.859250805;-0.22244871
"32";32;0.535;0.543786423768164;0.571336790194804;0.09625625;1;0.7822;2.859250805;-0.22244871
"33";33;0.545;0.551083643346523;0.549336258300065;0.102375;1;0.7822;2.859250805;-0.22244871
"34";34;0.52;0.526308368805509;0.603955632677357;0.06333125;1;0.7822;2.859250805;-0.22244871
"35";35;0.52;0.527073563889179;0.607719445756217;0.10130625;1;0.7822;2.859250805;-0.22244871
"36";36;0.434411221943171;0.439411221943171;0.774982650826576;0.14498125;1;0.7822;2.859250805;-0.22244871
"37";37;0.52;0.527073563889179;0.607719445756217;0.1017125;1;0.7822;2.859250805;-0.22244871
"38";38;0.445;0.455074226091922;0.755177303979502;0.11320625;1;0.7822;2.859250805;-0.22244871
"39";39;0.495;0.506281212358454;0.65466987271243;0.04824375;1;0.7822;2.859250805;-0.22244871
"40";40;0.431959501085374;0.436959501085374;0.779261778791623;0.1542125;1;0.7822;2.859250805;-0.22244871
"41";41;0.5;0.510513383981257;0.644639425760384;0.0540125;1;0.7822;2.859250805;-0.22244871
"42";42;0.455;0.461631192735597;0.736499435083015;0.0739125;1;0.7822;2.859250805;-0.22244871
"43";43;0.439860190880864;0.444860190880864;0.764449730403437;0.1336;1;0.7822;2.859250805;-0.22244871
"44";44;0.45;0.456971313754459;0.747801217317299;0.1296375;1;0.7822;2.859250805;-0.22244871
"45";45;0.46;0.466063283622197;0.735041760388143;0.17371875;1;0.7822;2.859250805;-0.22244871
"46";46;0.47;0.476929357428055;0.707302075266207;0.054475;1;0.7822;2.859250805;-0.22244871
"47";47;0.48;0.489634643171038;0.686835139624826;0.07784375;1;0.7822;2.859250805;-0.22244871
"48";48;0.455;0.461631192735597;0.736499435083015;0.100775;1;0.7822;2.859250805;-0.22244871
"49";49;0.434411221943171;0.439411221943171;0.774982650826576;0.0933625;1;0.7822;2.859250805;-0.22244871
"50";50;0.455;0.466063283622197;0.735041760388143;0.01431875;1;0.7822;2.859250805;-0.22244871
"51";51;0.47;0.476901419209618;0.708998718820502;0.0775125;1;0.7822;2.859250805;-0.22244871
"52";52;0.49;0.498284537715167;0.670557434478956;0.10959375;1;0.7822;2.859250805;-0.22244871
"53";53;0.463846519983187;0.468846519983187;0.721501532945307;0.0668375;1;0.7822;2.859250805;-0.22244871
"54";54;0.438470275347748;0.443470275347748;0.767454233887803;0.0956;1;0.7822;2.859250805;-0.22244871
"55";55;0.53;0.540866487430088;0.574572094555239;0.03184375;1;0.7822;2.859250805;-0.22244871
"56";56;0.433499199405089;0.438499199405089;0.773995828423654;0.1243125;1;0.7822;2.859250805;-0.22244871
"57";57;0.495;0.501079693621111;0.662615840082551;0.09430625;1;0.7822;2.859250805;-0.22244871
"58";58;0.47;0.479985356853622;0.704978838648418;0.04760625;1;0.7822;2.859250805;-0.22244871
"59";59;0.479376924280159;0.484376924280159;0.694513613683962;0.116575;1;0.7822;2.859250805;-0.22244871
"60";60;0.455;0.461631192735597;0.736499435083015;0.10530625;1;0.7822;2.859250805;-0.22244871
"61";61;0.438470275347748;0.443470275347748;0.767454233887803;0.099725;1;0.7822;2.859250805;-0.22244871
"62";62;0.454694087935257;0.459694087935257;0.737489380943264;0.11866875;1;0.7822;2.859250805;-0.22244871
"63";63;0.54;0.551083643346523;0.549336258300065;0.03354375;1;0.7822;2.859250805;-0.22244871
"64";64;0.53;0.541290445504167;0.578611085242643;0.05964375;1;0.7822;2.859250805;-0.22244871
"65";65;0.49;0.502221243816056;0.666025055869117;0.04318125;1;0.7822;2.859250805;-0.22244871
"66";66;0.53;0.540866487430088;0.574572094555239;0.02225625;1;0.7822;2.859250805;-0.22244871
"67";67;0.445;0.450964797540338;0.755438742497087;0.10720625;1;0.7822;2.859250805;-0.22244871
"68";68;0.445;0.450964797540338;0.755438742497087;0.15010625;1;0.7822;2.859250805;-0.22244871
"69";69;0.555;0.565475859363457;0.514925325709713;0.04043125;1;0.7822;2.859250805;-0.22244871
"70";70;0.463216630430459;0.468216630430459;0.724056113736602;0.14373125;1;0.7822;2.859250805;-0.22244871
"71";71;0.495;0.502221243816056;0.666025055869117;0.11269375;1;0.7822;2.859250805;-0.22244871
"72";72;0.46;0.468216630430459;0.724056113736602;0.0882125;1;0.7822;2.859250805;-0.22244871
"73";73;0.47;0.476901419209618;0.708998718820502;0.02424375;1;0.7822;2.859250805;-0.22244871
"74";74;0.46;0.468216630430459;0.724056113736602;0.0458375;1;0.7822;2.859250805;-0.22244871
"75";75;0.47;0.476132364026154;0.709008323675803;0.05999375;1;0.7822;2.859250805;-0.22244871
"76";76;0.46;0.468216630430459;0.724056113736602;0.05488125;1;0.7822;2.859250805;-0.22244871
"77";77;0.45481431508185;0.45981431508185;0.739696363276084;0.1175625;1;0.7822;2.859250805;-0.22244871
"78";78;0.484634643171038;0.489634643171038;0.686835139624826;0.15854375;1;0.7822;2.859250805;-0.22244871
"79";79;0.54;0.547952696715726;0.564102965578524;0.1096;1;0.7822;2.859250805;-0.22244871
"80";80;0.4;0.406183442083663;0.824939315494085;0.1237375;1;0.7822;2.859250805;-0.22244871
"81";81;0.49;0.499323210347792;0.671625479379418;0.070575;1;0.7822;2.859250805;-0.22244871
"82";82;0.495;0.500502664370675;0.659226882589472;0.03378125;1;0.7822;2.859250805;-0.22244871
"83";83;0.433499199405089;0.438499199405089;0.773995828423654;0.1156;1;0.7822;2.859250805;-0.22244871
"84";84;0.51;0.517382644849002;0.628197028033302;0.05915625;1;0.7822;2.859250805;-0.22244871
"85";85;0.46;0.466063283622197;0.735041760388143;0.15718125;1;0.7822;2.859250805;-0.22244871
"86";86;0.438470275347748;0.443470275347748;0.767454233887803;0.11941875;1;0.7822;2.859250805;-0.22244871
"87";87;0.435;0.443470275347748;0.767454233887803;0.03878125;1;0.7822;2.859250805;-0.22244871
"88";88;0.49;0.498284537715167;0.670557434478956;0.063775;1;0.7822;2.859250805;-0.22244871
"89";89;0.471929357428055;0.476929357428055;0.707302075266207;0.09768125;1;0.7822;2.859250805;-0.22244871
"90";90;0.433499199405089;0.438499199405089;0.773995828423654;0.0953125;1;0.7822;2.859250805;-0.22244871
"91";91;0.5;0.509105441834392;0.645179753723901;0.03505;1;0.7822;2.859250805;-0.22244871
"92";92;0.43;0.436959501085374;0.779261778791623;0.0684625;1;0.7822;2.859250805;-0.22244871
