"File_ID";"ID";"Plot_n";"MF";"TypeMF";"Aridity";"Sand";"Lattitude";"Longitude";"Cover";"Nbpixels";"Regular";"Regular_berdugo";"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"cv_psd";"fmax_psd";"Facilitation";"SR";"Long_cos";"Long_sin";"Lat";"Elevation";"Slope";"Soil_A";"Grp_Kefi"
"1";"10-a";4;10;-0.22244871;0;0.7822;2.859250805;-38.700489;-66.183086;0.130295222290156;45796;0;0;0.130295222290156;3.12820512820513;3.17841186112523;2.15781374022417;0.0636181224082974;0.496479632778926;5.31962527232069;0.400325228843987;0.716463849100086;2.07799955626031;-4.62270444727934;NA;28;-0.978105839760646;0.208108063818105;-38.700489;243;0.5;-0.127617755;"low cover - low MF"
"2";"10-b";410;10;-0.22244871;0;0.7822;2.859250805;-38.700489;-66.183086;0.370752904183771;45796;0;0;0.370752904183771;3.44048530537723;2.2278320033071;0.528696284401554;0.142893108226356;0.567310306099155;5.62669108480876;0.556079525674639;1.3326943487318;4.0462598678648;-2.53772272522389;NA;28;-0.978105839760646;0.208108063818105;-38.700489;243;0.5;-0.127617755;"low cover - low MF"
"3";"10-c";411;10;-0.22244871;0;0.7822;2.859250805;-38.700489;-66.183086;0.365359420036684;45796;0;0;0.365359420036684;3.34688022950036;2.21490233463681;0.581284374978187;0.130649146818922;0.476561528816583;5.15430066159176;0.548224110754227;1.3433552063222;3.04641723443456;-3.06059110685306;NA;28;-0.978105839760646;0.208108063818105;-38.700489;243;0.5;-0.127617755;"low cover - low MF"
"4";"100-a";28;100;0.295650288;1;0.7254;2.561439499;22.246529;-99.655561;0.36945954963973;110889;0;1;0.36945954963973;3.65818057555713;2.29267993113071;0.532626061333198;0.173185960008278;0.673589671601554;6.38593524901046;0.619705845160139;0.790322723847768;2.69202992947502;-2.85410847062598;NA;33;0.640686783646809;0.767802347782492;22.246529;1232;4.2;0.230429779;"high cover - high MF"
"5";"100-b";281;100;0.295650288;1;0.7254;2.561439499;22.246529;-99.655561;0.35349764178593;110889;0;1;0.35349764178593;3.63274573330952;2.32986722742274;0.599506533330862;0.166808780396764;0.646035597396578;6.262709626409;0.0728866774374723;NA;1.67334043600477;-3.84016950286215;NA;33;0.640686783646809;0.767802347782492;22.246529;1232;4.2;0.230429779;"high cover - high MF"
"6";"100-c";282;100;0.295650288;1;0.7254;2.561439499;22.246529;-99.655561;0.429249068888709;110889;0;1;0.429249068888709;3.58385680371436;2.12215748835914;0.279856280908972;0.166568000815286;0.582008917256183;5.58398487689793;0.382811628707847;1.34687116889699;2.98455754787496;-2.99167339177738;NA;33;0.640686783646809;0.767802347782492;22.246529;1232;4.2;0.230429779;"high cover - high MF"
"7";"101-a";29;101;0.161096476;1;0.7894;2.694664261;23.601688;-100.943528;0.202119309262166;33124;0;0;0.202119309262166;2.9765496639283;2.68966191484506;1.39026171110616;0.0759617193980872;0.321763570325306;4.57487200762854;0.457213528275072;0.719492637905799;1.93410504228919;-4.55294145195116;NA;15;0.916096141827766;-0.400958674838545;23.601688;1975;2.5;0.154679533;"low cover - low MF"
"8";"101-b";291;101;0.161096476;1;0.7894;2.694664261;23.601688;-100.943528;0.267026929114841;33124;0;0;0.267026929114841;3.09847371396269;2.45131540747197;0.984796236994378;0.0932847916056702;0.376591392209496;4.68217034616237;0.484025093547127;1.36550495680873;2.54830323609789;-3.63150638178141;NA;15;0.916096141827766;-0.400958674838545;23.601688;1975;2.5;0.154679533;"low cover - low MF"
"9";"101-c";292;101;0.161096476;1;0.7894;2.694664261;23.601688;-100.943528;0.140683492331844;33124;0;0;0.140683492331844;2.81502145922747;2.99621253176789;1.89692250779994;0.0514347277119016;0.327817305092841;4.46114481226248;0.505189741587485;0.774843977316102;2.1626573453472;-4.45737082156586;NA;15;0.916096141827766;-0.400958674838545;23.601688;1975;2.5;0.154679533;"low cover - low MF"
"10";"104-a";30;104;0.709906931;1;0.7716;2.784452477;23.254883;-101.055406;0.232241250259268;110889;0;0;0.232241250259268;3.83823243893915;2.80499053406918;1.26426111132543;0.161353492418048;0.891887979853209;8.18501821439981;0.456047201880851;1.21390799837386;2.76743351473719;-2.55804738619466;NA;6;0.865603941853931;-0.500729283991795;23.254883;2200;6.7;-0.405945111;"high cover - high MF"
"11";"104-b";301;104;0.709906931;1;0.7716;2.784452477;23.254883;-101.055406;0.310896482067653;110889;0;0;0.310896482067653;3.8708049311095;2.52175775524838;0.818654878718931;0.195279326113119;0.905311838283724;8.36270535670042;0.721852303446102;1.21148216999227;3.17768753210429;-1.88026978136851;NA;6;0.865603941853931;-0.500729283991795;23.254883;2200;6.7;-0.405945111;"high cover - high MF"
"12";"104-c";302;104;0.709906931;1;0.7716;2.784452477;23.254883;-101.055406;0.373643914184455;110889;0;0;0.373643914184455;3.8444235271402;2.33107570001022;0.521262101025255;0.207837733004296;0.870451513231248;7.967379343865;0.662833444139789;1.22517140228017;2.83579708059961;-2.3167439625264;NA;6;0.865603941853931;-0.500729283991795;23.254883;2200;6.7;-0.405945111;"high cover - high MF"
"13";"11-a";5;11;-0.575257766;0;0.8112;3.041700872;-37.671353;-67.233153;0.290873086507654;44944;0;0;0.290873086507654;3.44052627552972;2.47049268253874;0.909049813673467;0.135516351497628;0.59419992264799;5.75520005708566;0.455869327248022;1.31939918128745;3.0849714477299;-3.18861132305867;NA;28;-0.306095596284288;0.952000780427919;-37.671353;366;0.5;0.108089578;"low cover - low MF"
