"Cover";"p";"q";"Cover_bis";"Branch"
"1";-2.42863851043125e-154;0;0;NA;"forward"
"2";-2.83167377232775e-153;0.0050251256281407;0;NA;"forward"
"3";-3.46140572599138e-152;0.0100502512562814;0;NA;"forward"
"4";-4.2172869043547e-151;0.0150753768844221;0;NA;"forward"
"5";-5.11562684165093e-150;0.0201005025125628;0;NA;"forward"
"6";-6.11015686901315e-149;0.0251256281407035;0;NA;"forward"
"7";-7.24839803761844e-148;0.0301507537688442;0;NA;"forward"
"8";-7.43998610355809e-147;0.0351758793969849;0;NA;"forward"
"9";-8.38228599707623e-146;0.0402010050251256;0;NA;"forward"
"10";-9.01786066009275e-145;0.0452261306532663;0;NA;"forward"
"11";-8.39802699278994e-144;0.050251256281407;0;NA;"forward"
"12";-5.12535088076208e-143;0.0552763819095477;0;NA;"forward"
"13";3.37130019306583e-142;0.0603015075376884;0;NA;"forward"
"14";2.46513177346891e-140;0.0653266331658292;0;NA;"forward"
"15";5.62715897465807e-139;0.0703517587939698;0;NA;"forward"
"16";1.32455349718689e-137;0.0753768844221106;0;NA;"forward"
"17";2.85343520445738e-136;0.0804020100502513;0;NA;"forward"
"18";4.9651119482462e-135;0.085427135678392;0;NA;"forward"
"19";1.00364080294522e-133;0.0904522613065327;0;NA;"forward"
"20";1.70588075238366e-132;0.0954773869346734;0;NA;"forward"
"21";3.19625702448167e-131;0.100502512562814;0;NA;"forward"
"22";6.14450573223287e-130;0.105527638190955;0;NA;"forward"
"23";1.18465961872927e-128;0.110552763819095;0;NA;"forward"
"24";2.37767846487662e-127;0.115577889447236;0;NA;"forward"
"25";4.2833987857754e-126;0.120603015075377;0;NA;"forward"
"26";8.33110136462465e-125;0.125628140703518;0;NA;"forward"
"27";1.71045810568832e-123;0.130653266331658;0;NA;"forward"
"28";3.51179735391682e-122;0.135678391959799;0;NA;"forward"
"29";7.1961617457989e-121;0.14070351758794;0;NA;"forward"
"30";1.47645725468461e-119;0.14572864321608;0;NA;"forward"
"31";2.7944681602118e-118;0.150753768844221;0;NA;"forward"
"32";5.98605316823004e-117;0.155778894472362;0;NA;"forward"
"33";1.32298748256926e-115;0.160804020100503;0;NA;"forward"
"34";2.91076485283896e-114;0.165829145728643;0;NA;"forward"
"35";6.40526595008835e-113;0.170854271356784;0;NA;"forward"
"36";1.47239841385437e-111;0.175879396984925;0;NA;"forward"
"37";3.46832173815469e-110;0.180904522613065;0;NA;"forward"
"38";8.17465341285131e-109;0.185929648241206;0;NA;"forward"
"39";1.74310707202215e-107;0.190954773869347;0;NA;"forward"
"40";4.28335056468753e-106;0.195979899497487;0;NA;"forward"
"41";1.02501662892044e-104;0.201005025125628;0;NA;"forward"
"42";2.60247709719459e-103;0.206030150753769;0;NA;"forward"
"43";6.70700840770947e-102;0.21105527638191;0;NA;"forward"
"44";1.66581404688874e-100;0.21608040201005;0;NA;"forward"
"45";4.45463513574417e-99;0.221105527638191;0;NA;"forward"
"46";1.24314597912425e-97;0.226130653266332;0;NA;"forward"
"47";3.22280553451811e-96;0.231155778894472;0;NA;"forward"
"48";9.32196885535765e-95;0.236180904522613;0;NA;"forward"
"49";2.74231485029982e-93;0.241206030150754;0;NA;"forward"
"50";7.50581099660057e-92;0.246231155778894;0;NA;"forward"
"51";2.3305039511034e-90;0.251256281407035;0;NA;"forward"
"52";6.82915546191412e-89;0.256281407035176;0;NA;"forward"
"53";2.22442808773472e-87;0.261306532663317;0;NA;"forward"
"54";6.83599662466012e-86;0.266331658291457;0;NA;"forward"
"55";2.32966391475774e-84;0.271356783919598;0;NA;"forward"
"56";7.51306554095401e-83;0.276381909547739;0;NA;"forward"
"57";2.6762466473654e-81;0.281407035175879;0;NA;"forward"
"58";9.17624238121026e-80;0.28643216080402;0;NA;"forward"
"59";3.24602982886965e-78;0.291457286432161;0;NA;"forward"
"60";1.25772948813714e-76;0.296482412060302;0;NA;"forward"
"61";4.68909507215239e-75;0.301507537688442;0;NA;"forward"
"62";1.80431820930952e-73;0.306532663316583;0;NA;"forward"
