"Site_ID";"RCP";"mean_trend"
"139";70;"rcp45";0.000734019135844455
"140";70;"rcp85";0.00123005139945268
"141";71;"rcp45";0.000734019135844455
"142";71;"rcp85";0.00123005139945268
"143";72;"rcp45";0.000819537065282578
"144";72;"rcp85";0.0014047189715275
"145";73;"rcp45";0.000819537065282578
"146";73;"rcp85";0.0014047189715275
"147";74;"rcp45";0.000819070009308838
"148";74;"rcp85";0.00140379518933923
"149";75;"rcp45";0.000819070009308838
"150";75;"rcp85";0.00140379518933923
"151";76;"rcp45";0.000820004326097357
"152";76;"rcp85";0.00139561700238484
"153";77;"rcp45";0.000820004326097357
"154";77;"rcp85";0.00139561700238484
"155";78;"rcp45";0.000667656389206511
"156";78;"rcp85";0.00108834824120077
"157";79;"rcp45";0.000667656389206511
"158";79;"rcp85";0.00108834824120077
"159";80;"rcp45";0.000667719136422659
"160";80;"rcp85";0.00108848751667476
"161";81;"rcp45";0.000667719136422659
"162";81;"rcp85";0.00108848751667476
"163";82;"rcp45";0.000667719136422659
"164";82;"rcp85";0.00108848751667476
"165";83;"rcp45";0.000815286799941023
"166";83;"rcp85";0.00138164810696631
"167";84;"rcp45";0.000811792405963338
"168";84;"rcp85";0.00138849261589486
"169";85;"rcp45";0.000811792405963338
"170";85;"rcp85";0.00138849261589486
"171";86;"rcp45";0.000811792405963338
"172";86;"rcp85";0.00138849261589486
"173";87;"rcp45";0.000811758484110188
"174";87;"rcp85";0.00138847609337231
"175";88;"rcp45";0.000811758484110188
"176";88;"rcp85";0.00138847609337231
"177";89;"rcp45";0.000811758484110188
"178";89;"rcp85";0.00138847609337231
"179";90;"rcp45";0.000786752556591473
"180";90;"rcp85";0.00135510943905812
"181";91;"rcp45";0.000786752556591473
"182";91;"rcp85";0.00135510943905812
"183";92;"rcp45";0.000786814684001996
"184";92;"rcp85";0.00135505968775574
"185";93;"rcp45";0.000786814684001996
"186";93;"rcp85";0.00135505968775574
"187";94;"rcp45";0.000786550107924875
"188";94;"rcp85";0.0013547954079424
"189";95;"rcp45";0.000786550107924875
"190";95;"rcp85";0.0013547954079424
"191";96;"rcp45";0.000786550107924875
"192";96;"rcp85";0.0013547954079424
"193";97;"rcp45";0.000684989400021688
"194";97;"rcp85";0.00112357765005057
"195";98;"rcp45";0.000684989400021688
"196";98;"rcp85";0.00112357765005057
"197";99;"rcp45";0.000684989400021688
"198";99;"rcp85";0.00112357765005057
"199";100;"rcp45";0.000685052819561047
"200";100;"rcp85";0.00112370128685172
"201";101;"rcp45";0.000685052819561047
"202";101;"rcp85";0.00112370128685172
"203";102;"rcp45";0.000685052819561047
"204";102;"rcp85";0.00112370128685172
"205";103;"rcp45";0.000807274279430955
