"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"1";0.133995631342978;0.260779068843308;0.303242226196579;0.288708511269405;0.131203871107039;0.757250141932491;0.298684052447119;0.350438378748256;0.126859360637967;0.0649669730543126;0.226714844605599
"2";0.133005721262636;0.235317614590513;0.294271363757785;0.251206438233671;0.113071684766963;0.59964811333679;0.243573491163597;0.264441240839134;0.341481892685819;0.0555564200384687;0.200075212820495
"3";0.135698449073683;0.246406477002586;0.299027095531793;0.271612575777968;0.117324710367961;0.676218880558327;0.261703774447591;0.281799302068308;0.254983959741777;0.0571460319234013;0.197441668957396
"4";0.10477538407281;0.163715057318843;0.195006425931659;0.20869782764496;0.067635273907979;0.301174077142045;0.123272259202529;0.185339580101122;0.916298714507779;0.0243862433966703;0.143305486047444
"5";0.0988004364264532;0.142301130048167;0.23054944999451;0.193848831293446;0.0504324888826876;0.227845251112895;0.0951547082329813;0.148103280884892;0.915120191418473;0.0197408873595452;0.129371870251763
"6";0.104211204573291;0.165486749614635;0.189828269475001;0.215629607632203;0.0692534182262106;0.292143466035177;0.117799102285899;0.225568507541632;0.793046498210014;0.0230633193373951;0.131468096651819
"7";0.0998716174114925;0.127533694054287;0.184026082917845;0.190155161837489;0.0376168001316133;0.196784534140154;0.0668257011101453;0.183260361823628;0.944651771204019;0.0191248230125055;0.116376415709399
"8";0.11151682217958;0.124029077246865;0.176515771103844;0.178056819140737;0.0323683774536021;0.151781891289064;0.0589244341345683;0.17464916830956;1.04553207363486;0.0204030519197023;0.111108484740453
"9";0.103326573600111;0.128469712995822;0.177663046710902;0.183280354233714;0.0375500821563279;0.174137495345401;0.0661649053454332;0.182517784071335;0.981763857907542;0.0175726854327431;0.0995809866693385
"10";0.101974983656197;0.11185221865243;0.172988973482326;0.1778044161071;0.0295557698060926;0.156325203893976;0.061639982277498;0.201833185614345;0.929445456643728;0.0224768111651174;0.109418168242702
"11";0.0977857762043006;0.0986304712229008;0.152714948754341;0.169630215868714;0.0210067126217048;0.129488061659052;0.0547961156215296;0.180545283829552;0.884777369295419;0.0222171039016381;0.113654548840248
"12";0.103886166994307;0.105643612402014;0.162744638915875;0.165171720955375;0.0250015683831362;0.142054474287721;0.0547328808076531;0.151433082822824;0.844661359186771;0.0196782900458032;0.112958986097688
"13";0.0994554367861485;0.0915765236900503;0.122559562769349;0.161080631070458;0.0203768880815434;0.129085077992766;0.0543067488568757;0.111709862439151;0.870971890634563;0.0246526283687818;0.112835063068736
"14";0.092808604650252;0.0830092037246854;0.0994217197233336;0.144685874024896;0.0190064063782086;0.116997235645462;0.053334660011399;0.140532767061366;0.68643198715548;0.029134138463606;0.0893067076271156
"15";0.106232918990109;0.0958236572685163;0.117664486226003;0.142662612942157;0.0196409100216101;0.120864379074226;0.0545038429237632;0.20891410777896;0.765582549249916;0.0271693352790742;0.122746159612312
"16";0.0666071632660503;0.06140611558773;0.082847090039892;0.120130264997656;0.0192936435063527;0.11829463812496;0.0536335122563027;0.187775060758853;0.647884382526254;0.0317093034019787;0.0908777747049739
