"p";"q"
"1";NA;0.547271455971822
"2";0.167793515331863;0.152596173770166
"3";1.67936866128447;NA
"4";NA;1.07107938621222
"5";NA;1.08324118145686
"6";0.304581971546336;0.17801232244823
"7";0.222100943444413;0.610085191446257
"8";0.823664122178786;0.804563405951832
"9";0.103005327979652;0.09561699690306
"10";0.129599954691126;0.169743237262782
"11";0.383495161540224;0.272838346490257
"12";1.22325079748985;0.490573545395726
"13";0.0751998611988347;0.0402016928846305
"14";1.29413556836617;1.5918928417507
"15";0.156689608806489;0.0335663887657892
"16";0.0788644535775361;0.0501580317170393
"17";0.146928581167371;0.103446608243673
"18";0.251729698441422;0.357684921615375
"19";0.391189146146623;0.133278207916271
"20";0.0688767486744203;0.0639808133255927
"21";0.173967590822194;0.0687701137678396
"22";0.0682363369752353;0.0779627692567997
"23";0.669929687716383;1.05243174193277
"24";NA;0.963333107987532
"25";0.128341497476095;0.141226021886574
"26";0.115671734313834;0.075921676435115
"27";0.368996025902099;0.410459264167493
"28";0.0990638645686193;0.0943310360825508
"29";0.081564766035769;0.0882334720352214
"30";0.481739617272396;0.161747493204607
"31";0.0539623248014624;0.0587088994824648
"32";0.079319526932315;0.0836655703662749
"33";0.0885978666623696;0.0770266208038314
"34";0.181373168225917;0.157263112761278
"35";1.03880320142239;1.39545865280026
"36";0.132614304599296;0.192786511830313
"37";0.071368725954627;0.140665015895933
"38";0.164229085100415;0.0614443748147544
"39";0.124027090512435;0.129714696344297
"40";0.0432140613349388;0.0702856051767455
"41";0.742612878648525;0.676272075379941
"42";0.279398562815248;0.58722902193461
"43";0.409523492908991;0.311578012308863
"44";0.936227367896665;1.09540510015574
"45";0.247363749342854;0.156097438003666
"46";0.0602353642429667;0.0306599286395888
"47";0.0928153332578499;0.0814853657724589
"48";0.0789015843662162;0.102714691143738
"49";0.13726155074749;0.139623131533242
"50";0.361779812384498;0.888490968205247
"51";0.29098757650278;0.274526315819449
"52";NA;NA
"53";0.617336264258001;0.135444236302686
"54";0.0758856710629813;0.0966763734697593
"55";0.0762609452147201;0.0805787777064566
"56";0.0988449744049649;0.158009696139688
"57";0.115648411090614;0.140006602823364
"58";0.15133148623523;0.13026031623191
"59";0.313525131950907;0.0666569368997822
"60";0.167149082662625;0.16055838157584
"61";0.178093145147767;0.222359390251225
"62";0.0698718364418354;0.0851172370775149
"63";0.142301773777186;0.146008617723269
"64";1.16824308252602;0.262051745620081
"65";0.0955964492036214;0.139118564293108
"66";0.147295068557649;0.128650779273313
"67";0.0496444093379144;0.0840363217970233
"68";0.364898580531679;0.159592275761169
"69";0.819393574547381;1.79306324014195
"70";0.0806798764282246;0.059447855485833
"71";0.144814314612548;0.129006827565046
"72";0.123304105498523;0.0795210907863045
"73";0.167335434337258;0.243548804067512
"74";0.182474838309676;0.0854117283582134
"75";0.0540923572016904;0.0383376210592253
"76";0.185197641870585;0.190294566338302
"77";0.0632631553121052;0.164951902767264
"78";0.150580920295505;0.094796843932449
"79";0.0224615615543633;0.0658670587811145
"80";0.414623895482526;0.0826811717020936
"81";0.0586855834503981;0.0505843185310605
"82";0.0962593344401418;0.0860664984474315
"83";0.0627870407906935;0.0606512066155688
"84";0.144965818557812;0.167091423396707
"85";0.0853301974397385;0.0849873607105688
"86";NA;0.714541294786788
"87";0.0886147214498463;0.120350196119781
"88";0.0847941405580685;0.0810451362334378
"89";0.141616968325592;0.37401942657343
"90";0.183644819709019;0.147061955818421
"91";1.44220058249181;NA
"92";0.309098147215594;0.460239431757005
"93";0.20537539930454;0.149150276939322
"94";0.298666999782855;0.207489178854656
"95";0.128964686295891;0.0849561247986241
"96";0.0946971541673814;0.128295064885705
"97";0.43606179808016;0.21124912397884
"98";NA;0.919594496010371
"99";0.0954968230348566;0.128280937641296
"100";0.1365027495002;0.107748677113975
