"p";"q"
"1";0.0483985278465925;0.0596065617280916
"2";0.0688586846137836;0.0641707563817654
"3";0.311359791034307;0.304345044304291
"4";0.100104972201869;0.121889612023122
"5";0.0696720752860298;0.0724257638700332
"6";0.177335722843107;0.153416721846052
"7";0.106242781180959;0.081000575141385
"8";0.02711103048766;0.0516458894772409
"9";0.183199898975687;0.0937713765195093
"10";0.0294534392640119;0.0708574626067922
"11";0.121256938475973;0.168937902140074
"12";0.197766756966931;0.0739109382048338
"13";0.114806252920948;0.155684965744417
"14";0.071771026295885;0.0616139976559948
"15";0.0576055982488895;0.0953377057336158
"16";0.0610265148253819;0.0603938954559106
"17";0.078524153935391;0.0374206661542242
"18";0.0695914633307749;0.0307954680694315
"19";0.121771738446077;0.118354590573277
"20";0.0184166082699895;0.0522564064718327
"21";0.269651163641836;0.202364262300337
"22";0.152259367299318;0.188795765175483
"23";0.0297670586966973;0.0664549608729477
"24";0.0779049598021982;0.120115895698745
"25";0.043209008452605;0.0296634274638462
"26";0.054813348101095;0.011114774701989
"27";0.125772866415652;0.16054592161965
"28";0.0386807390429986;0.0145243348653514
"29";0.0716206346928916;0.0785487998648494
"30";0.183661673959081;0.107651232411923
"31";0.0173122260941357;0.0519874143486282
"32";0.0302274532282909;0.00259301988529182
"33";0.0469151222151534;0.0669450242665126
"34";0.0784183105650095;0.0781788731078547
"35";0.00937134445011199;0.0394990078514986
"36";0.124750437829048;0.0940226150828414
"37";0.113376060268215;0.113467312699928
"38";0.0541889405905382;0.0829239078105495
"39";0.0261691894666039;0.0353572945610531
"40";0.174534917549239;0.153101662041643
"41";0.0883265316631449;0.0847229347034314
"42";0.0379034254546202;0.0203869010983976
"43";0.0511503287196144;0.029185223303449
"44";0.238166741117037;0.0937356586487099
"45";0.0414298951946244;0.160005960964218
"46";0.033065434692498;0.0530172787046956
"47";0.257726295770914;0.272880679740315
"48";0.127076231952446;0.115457038718637
"49";0.067353244197281;0.0268319610180266
"50";0.118300844910181;0.0788933737049876
"51";0.0648419942034086;0.0528984100492728
"52";0.0491170438473305;0.0975693145108559
"53";0.134377026348055;0.146699078459481
"54";0.0802038307329243;0.0468832259735115
"55";0.0204466005152701;0.0508778801311595
"56";0.240677500616323;0.192214558554085
"57";0.0801636138720286;0.057743634428989
"58";0.100657878822772;0.0957640546166838
"59";0.379451409239657;0.285523555887859
"60";0.13599026784975;0.0425465572184727
"61";0.0231299565503435;0.00721738361897299
"62";0.0604496244982161;0.0415923600080512
"63";0.109130235312383;0.124045508115705
"64";0.108331282758759;0.154641927418689
"65";0.0252975183433681;0.009006569233855
"66";0.0802785741630073;0.0711713886086796
"67";0.116716479819727;0.10328419570481
"68";0.0668488580950756;0.116944528651496
"69";0.178945545907052;0.112833944545503
"70";0.125760097725906;0.104613356442789
"71";0.113652629935575;0.0523404633209669
"72";0.176207162371767;0.185635362699796
"73";0.034463374715098;0.0304640573365371
"74";0.0992421145412218;0.0959526547663148
"75";0.143090090880754;0.0910467652674982
"76";0.0426018741194988;0.0192807319251813
"77";0.158391725596863;0.045597301979403
"78";0.0139790996802177;0.0153438214587899
"79";0.0408209569879692;0.0353815236688759
"80";0.109322340352986;0.131644017799301
"81";0.0994171154469332;0.097566579274778
"82";0.225844936802821;0.226894429075252
"83";0.0470508399745323;0.0694433018189037
"84";0.210173057291424;0.149270219464363
"85";0.0401985869215282;0.0382932517158814
"86";0.0900238295305024;0.101062832265261
"87";0.208535358399402;0.068178091644619
"88";0.0891132839341384;0.0716976264679537
"89";0.23945178254639;0.186877258595918
"90";0.0167526767905662;0.0164941922922465
"91";0.10260618707637;0.116049387006992
"92";0.0120918508359893;0.0130646671911228
"93";0.124273063537651;0.142385312358208
"94";0.153995708175483;0.0812116214426722
"95";0.0445363601652073;0.0533660735418051
"96";0.123078861321004;0.0942564484452841
"97";0.0380851575127701;0.0489736839596705
"98";0.137304458651711;0.0342940065140206
"99";0.143548916204879;0.172034174099586
"100";0.0744449044976395;0.065044086941249
