"p";"q";"Pooling";"Site_ID";"Method";"Type";"Scale_obs"
"2917108";0.770038609360129;0.42165616807619;3;9;"Rejection";"Obs";3
"143";0.781505358926999;0.391774909621697;2;9;"Rejection";"Sim";2
"2917107";0.770038609360129;0.42165616807619;2;9;"Rejection";"Obs";2
"144";0.780089221044336;0.39748221073223;1;9;"Rejection";"Sim";1
"2917106";0.770038609360129;0.42165616807619;1;9;"Rejection";"Obs";1
"145";0.786513526874879;0.24636989814323;5;10;"Rejection";"Sim";5
"6158900";0.803410764290141;0.213800544325178;5;10;"Rejection";"Obs";5
"146";0.792128628370287;0.235740194006867;4;10;"Rejection";"Sim";4
"6158899";0.803410764290141;0.213800544325178;4;10;"Rejection";"Obs";4
"147";0.787683622552277;0.244714127160138;3;10;"Rejection";"Sim";3
"6158898";0.803410764290141;0.213800544325178;3;10;"Rejection";"Obs";3
"148";0.787948018495444;0.24285811229613;2;10;"Rejection";"Sim";2
"6158897";0.803410764290141;0.213800544325178;2;10;"Rejection";"Obs";2
"149";0.781159555603314;0.252488564656839;1;10;"Rejection";"Sim";1
"6158896";0.803410764290141;0.213800544325178;1;10;"Rejection";"Obs";1
"150";0.698347031010641;0.264730345334145;5;11;"Rejection";"Sim";5
"4416405";0.730165961358158;0.192126751484274;5;11;"Rejection";"Obs";5
"151";0.701244501103626;0.258385384185673;4;11;"Rejection";"Sim";4
"4416404";0.730165961358158;0.192126751484274;4;11;"Rejection";"Obs";4
"152";0.704797046116321;0.251233252924278;3;11;"Rejection";"Sim";3
"4416403";0.730165961358158;0.192126751484274;3;11;"Rejection";"Obs";3
"153";0.704933813532193;0.250579759496412;2;11;"Rejection";"Sim";2
"4416402";0.730165961358158;0.192126751484274;2;11;"Rejection";"Obs";2
"154";0.720364189596293;0.21363349581634;1;11;"Rejection";"Sim";1
"4416401";0.730165961358158;0.192126751484274;1;11;"Rejection";"Obs";1
"155";0.780073854579904;0.237028463686947;5;12;"Rejection";"Sim";5
"3347715";0.798759251903651;0.211625407540693;5;12;"Rejection";"Obs";5
"156";0.769957475875461;0.257087295248183;4;12;"Rejection";"Sim";4
"3347714";0.798759251903651;0.211625407540693;4;12;"Rejection";"Obs";4
"157";0.786063761134949;0.226111413149574;3;12;"Rejection";"Sim";3
"3347713";0.798759251903651;0.211625407540693;3;12;"Rejection";"Obs";3
"158";0.770208163990803;0.257268011946643;2;12;"Rejection";"Sim";2
"3347712";0.798759251903651;0.211625407540693;2;12;"Rejection";"Obs";2
"159";0.770441917342645;0.251540191092998;1;12;"Rejection";"Sim";1
"3347711";0.798759251903651;0.211625407540693;1;12;"Rejection";"Obs";1
"160";0.800231292899889;0.400328423049996;5;13;"Rejection";"Sim";5
"6629500";0.789811903098625;0.410204679123776;5;13;"Rejection";"Obs";5
"161";0.802598108146245;0.397107947117918;4;13;"Rejection";"Sim";4
"6629499";0.789811903098625;0.410204679123776;4;13;"Rejection";"Obs";4
"162";0.799138194693983;0.402334035373187;3;13;"Rejection";"Sim";3
"6629498";0.789811903098625;0.410204679123776;3;13;"Rejection";"Obs";3
"163";0.832751395238929;0.356833191463309;2;13;"Rejection";"Sim";2
"6629497";0.789811903098625;0.410204679123776;2;13;"Rejection";"Obs";2
"164";0.820464000733417;0.377245426557475;1;13;"Rejection";"Sim";1
"6629496";0.789811903098625;0.410204679123776;1;13;"Rejection";"Obs";1
"165";0.793336904062674;0.29868858297987;5;14;"Rejection";"Sim";5
"4723360";0.815107739950533;0.240676800289666;5;14;"Rejection";"Obs";5
"166";0.792893235199808;0.29940380720591;4;14;"Rejection";"Sim";4
"4723359";0.815107739950533;0.240676800289666;4;14;"Rejection";"Obs";4
"167";0.795185952239063;0.294961652675549;3;14;"Rejection";"Sim";3
"4723358";0.815107739950533;0.240676800289666;3;14;"Rejection";"Obs";3
"168";0.801723653521239;0.282695630936355;2;14;"Rejection";"Sim";2
"4723357";0.815107739950533;0.240676800289666;2;14;"Rejection";"Obs";2
"169";0.793121033207704;0.296166826870499;1;14;"Rejection";"Sim";1
"4723356";0.815107739950533;0.240676800289666;1;14;"Rejection";"Obs";1
"170";0.600774400213525;0.459027541099909;5;15;"Rejection";"Sim";5
"3069985";0.595190169313612;0.467400801736501;5;15;"Rejection";"Obs";5
"171";0.594696649088881;0.473303648628756;4;15;"Rejection";"Sim";4
"3069984";0.595190169313612;0.467400801736501;4;15;"Rejection";"Obs";4
"172";0.592226078823227;0.479131222249351;3;15;"Rejection";"Sim";3
"3069983";0.595190169313612;0.467400801736501;3;15;"Rejection";"Obs";3
"173";0.586362853126445;0.493123795353384;2;15;"Rejection";"Sim";2
"3069982";0.595190169313612;0.467400801736501;2;15;"Rejection";"Obs";2
"174";0.583766833357646;0.500067176288155;1;15;"Rejection";"Sim";1
"3069981";0.595190169313612;0.467400801736501;1;15;"Rejection";"Obs";1
"175";0.435792970053391;0.878031489533681;5;16;"Rejection";"Sim";5
"2011565";0.436183362898214;0.877065714720886;5;16;"Rejection";"Obs";5
"176";0.433618741308461;0.879188937814161;4;16;"Rejection";"Sim";4
"2011564";0.436183362898214;0.877065714720886;4;16;"Rejection";"Obs";4
"177";0.438626037875756;0.876793286103054;3;16;"Rejection";"Sim";3
"2011563";0.436183362898214;0.877065714720886;3;16;"Rejection";"Obs";3
"178";0.449688216436267;0.870780296299234;2;16;"Rejection";"Sim";2
"2011562";0.436183362898214;0.877065714720886;2;16;"Rejection";"Obs";2
