"p";"q";"Pooling";"Site_ID";"Method";"Scale_obs"
"1";0.24230554716763;0.215187088082628;0;1;"Rejection";5
"2";0.2368099814549;0.211718227861453;0;1;"Rejection";4
"3";0.192606201637644;0.173750261779487;0;1;"Rejection";3
"4";0.178972617515455;0.160692517923268;0;1;"Rejection";2
"5";0.18123762712931;0.166014970130943;0;1;"Rejection";1
"6";0.144168753039251;0.099875337303771;0;2;"Rejection";5
"7";0.144681284788561;0.106156353398166;0;2;"Rejection";4
"8";0.150925717436391;0.0949967592520928;0;2;"Rejection";3
"9";0.152602465412887;0.100066979620708;0;2;"Rejection";2
"10";0.187930494969259;0.119464299543226;0;2;"Rejection";1
"11";0.202163636187043;0.246776662443065;0;3;"Rejection";5
"12";0.194027441932919;0.236642210548438;0;3;"Rejection";4
"13";0.170768979879681;0.208313254208011;0;3;"Rejection";3
"14";0.165311345593634;0.204035892601463;0;3;"Rejection";2
"15";0.128788710343145;0.152362934179266;0;3;"Rejection";1
"16";0.262304033118498;0.0973415354621572;0;4;"Rejection";5
"17";0.268470406793355;0.0975338900261079;0;4;"Rejection";4
"18";0.253229588793031;0.0843559017957299;0;4;"Rejection";3
"19";0.27956540394372;0.0953222873522562;0;4;"Rejection";2
"20";0.381598581230393;0.110138658427734;0;4;"Rejection";1
"21";0.261236619755235;0.224192856153849;0;5;"Rejection";5
"22";0.228446743820204;0.197124843894345;0;5;"Rejection";4
"23";0.305036394998986;0.262762275318817;0;5;"Rejection";3
"24";0.335054759184923;0.285155691285666;0;5;"Rejection";2
"25";0.263624285692853;0.221338961719668;0;5;"Rejection";1
"26";0.298453973307632;0.275415034060078;0;6;"Rejection";5
"27";0.275233094772781;0.255949155067289;0;6;"Rejection";4
"28";0.260436290204216;0.242672555250675;0;6;"Rejection";3
"29";0.233700867435042;0.215877337041813;0;6;"Rejection";2
"30";0.207344501631396;0.18449592400829;0;6;"Rejection";1
"31";0.186599647202128;0.160223349636534;0;7;"Rejection";5
"32";0.189965861600234;0.162491890344223;0;7;"Rejection";4
"33";0.163825088207784;0.14406073573837;0;7;"Rejection";3
"34";0.17010378078325;0.154142509525285;0;7;"Rejection";2
"35";0.184140672706563;0.151642668707841;0;7;"Rejection";1
"36";0.251182898685628;0.231672970266161;0;8;"Rejection";5
"37";0.233799782224016;0.217048739753453;0;8;"Rejection";4
"38";0.208277569818869;0.18881949813112;0;8;"Rejection";3
"39";0.234609405327668;0.213402975418407;0;8;"Rejection";2
"40";0.248484602594973;0.201038826830688;0;8;"Rejection";1
"41";0.221902294679388;0.204391441408105;0;9;"Rejection";5
