"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"CV_PSD";"fmax_PSD";"Resolution";"ID"
"227";0.633788714845141;2.75959518808478;1.47112363541757;-0.79005145186311;0.0274233217592593;0.311039831179108;2.29516684136137;0.923764906246606;1.5052946559286;3.70973495135056;-0.234645904728281;"/2";123
"327";0.63374149659864;2.25382653061224;1.26874359373188;-1.31781990818159;0.00802172316536909;0.235418421853243;1.2434670813396;NA;NA;NA;-0.086047092525191;"/3";123
"128";0.547993058027768;3.3955905639693;1.82397035692535;-0.193238010377719;0.108146177747376;0.353693467938975;4.6763711536545;0.644296211821429;1.3467171437584;7.72802192527376;-1.05910835714259;"No change";124
"228";0.547993058027768;2.52121212121212;1.52623244630758;-0.895321526713609;0.0534073663160202;0.388099862406439;3.25860048521552;1;1.52776797285856;7.21069299652806;-0.388346539543442;"/2";124
"328";0.547210884353742;1.72318339100346;1.14709441078651;-1.88093813158515;0.030039715794406;0.464411837882849;2.5823653206287;1;1.38475842787505;2.62532996998997;-0.190024618730144;"/3";124
"129";0.636592203631186;3.48460382370417;1.69998036841816;-0.495879812759446;0.0926097970510183;0.276468186456671;4.22174734297005;0.684118325894797;1.33542181267047;7.83779902259837;-0.523040962931788;"No change";125
"229";0.636592203631186;2.7168880455408;1.45111313551773;-1.20285666427776;0.0328865329826868;0.226731043157378;2.48967717028167;0.923689002603754;1.51291465507835;4.4308122678115;-0.243689601908435;"/2";125
"329";0.636417233560091;1.92741412832145;1.1080801777808;-1.47628869606327;0.011962890625;0.246138038548753;1.88660327171769;NA;NA;1.99699311451478;-0.10106138017552;"/3";125
"130";0.572957458170167;3.38759659819036;1.77706451092494;-0.258093566332445;0.0948453079295767;0.271051185957327;4.14564191019158;0.706306628647758;1.30751662088099;5.48433153997936;-1.27275273505252;"No change";126
"230";0.572957458170167;2.4858934169279;1.46757592790475;-0.832902357349722;0.0370178182527942;0.278556841741336;2.48506659748171;0.878073199082517;1.45211916633726;5.08960334882782;-0.316453241442954;"/2";126
"330";0.572675736961451;1.57959542656113;1.01460438164439;-1.75849705038085;0.0189314581531142;0.349075778422332;2.11119440968597;1;1.378142343109;2.43850850674378;-0.138558585067422;"/3";126
"131";0.71853305785124;3.58903873249561;1.60842796909535;-0.764992620130103;0.0773708942441187;0.295236049391606;4.51014303537774;0.845777969683921;1.29283391647476;4.69243983427988;-0.35140549887208;"No change";127
"231";0.71853305785124;2.98430854964071;1.42391164333608;-0.944946551459802;0.0184731784847526;0.334607705511277;2.3147879684135;NA;NA;1.72579738941213;-0.155446284600996;"/2";127
"331";0.718208544442359;2.52819807427785;1.25850212561942;-1.53915395297508;0.00434695914793793;0.187340861691795;0.852245138839347;NA;NA;NA;-0.0494283861797204;"/3";127
"132";0.650723140495868;3.64114938879187;1.72197040860532;-0.558727303516051;0.128175888518573;0.591961696220718;5.83557453302816;0.621960797532683;1.32059111179331;10.5999528952757;-0.659624488521302;"No change";128
"232";0.650723140495868;3.21717639789929;1.59817509044529;-0.870305492807246;0.0642680993881804;0.596273852218459;4.08608221179729;0.781746731196114;1.40230261137357;7.00431523522026;-0.485125657408556;"/2";128
"332";0.651487667062822;2.86564551422319;1.48129044782387;-1.03401933519104;0.032398561124011;0.549727330559775;2.75778009725335;0.869292860479246;1.49027178727538;4.27505498950016;-0.175775194689168;"/3";128
"133";0.711219008264463;3.59312087848241;1.61979601844678;-0.792364539147907;0.0888495283257357;0.44932315664403;5.22999785796678;0.68213206276519;1.33217680223221;9.38114335761227;-0.418682236079406;"No change";129
"233";0.711219008264463;3.03920421299005;1.45237057721568;-1.44346938739925;0.0296336572378239;0.576038668916298;3.47489970613429;0.77374123371392;1.33793502370369;5.07347261460943;-0.210414986936829;"/2";129
"333";0.713809136590146;2.65017667844523;1.31176597696496;-2.35080210035585;0.0110292624603448;0.515840809933375;2.1346490433055;NA;NA;1.41364526276997;-0.0685372478777669;"/3";129
"134";0.290873086507654;3.44052627552972;2.47049268253874;0.909049813673467;0.135516351497628;0.59419992264799;5.75520005708566;0.455869327248022;1.31939918128745;3.0849714477299;-3.18861132305867;"No change";13
"234";0.290873086507654;2.84706847068471;2.28115809390643;0.552205018677391;0.108584264738111;0.381128158617071;4.29802366127134;0.679703523818867;1.06769298733832;2.91747723174539;-2.83463835320366;"/2";13
"334";0.290975056689342;2.32249674902471;2.07716052325944;0.254821831022147;0.077158856419406;0.283248774827347;3.33951179113446;0.7669323795772;1.44777704704978;2.73208493928245;-2.54895549491807;"/3";13
"135";0.739979338842975;3.61764623760994;1.58695661741027;-0.938219468604202;0.0722594758461236;0.232695225704462;4.17571430827655;0.829061984984805;1.40005039027837;4.22382987295991;-0.305329997992585;"No change";130
"235";0.739979338842975;2.97724079797696;1.39212997853794;-1.62450429134011;0.0159956253344564;0.286476192556139;2.30432521339691;1;1.2583715910826;1.99619745448903;-0.141544521962057;"/2";130
"335";0.740497487541961;2.3195472355246;1.14180504773222;-1.97570110277787;0.00494092922256622;0.191572413572446;1.05010323766035;NA;NA;1.41309427977525;-0.0533793988264005;"/3";130
"136";0.874338842975207;3.84290372890968;1.48051554651209;-2.02675989622466;0.0522146544927085;0.411244696230519;4.88962597484925;0.793668264794899;1.32046232613456;3.59004708303306;-0.138265129274722;"No change";131
"236";0.874338842975207;3.61663578340539;1.41983153839981;-2.67318544615766;0.0145065438034188;0.308673130666806;2.85165937616268;NA;NA;1.72929692675632;-0.0676065837135055;"/2";131
"336";0.874397948333021;3.34512353706112;1.34172331324883;-3.18651685932695;0.00361297890866873;0.241890228894905;1.53856767235571;NA;NA;NA;-0.0264299061368479;"/3";131
"137";0.763305785123967;3.67112386314422;1.57059440603774;-1.14169461288061;0.0755917467423149;0.360769681266924;4.71080359574004;0.696761635387822;1.33801032264641;5.93630006714008;-0.3068733164329;"No change";132
"237";0.763305785123967;3.14705496523678;1.41656364495591;-1.83669034961151;0.0237883405924494;0.405629639601331;3.04495683881544;1;1.46770850470124;3.44806167012986;-0.136700517619219;"/2";132
"337";0.764537853672776;2.50521436848204;1.18685804766706;-2.56073166026582;0.00908098985208118;0.364030430165555;1.95893814379038;NA;NA;1.41365314487265;-0.0545677530957792;"/3";132
"138";0.391023482871812;3.24360975084755;2.11567449256892;0.442882930988078;0.106391740312513;0.313556576680189;4.9239839439992;0.575663319720717;NA;3.73409214198361;-2.75366281655646;"No change";133
"238";0.391023482871812;2.20640326975477;1.7303513723014;0.0633789079153298;0.0543933491705482;0.395722115878527;2.8818726172157;0.759100722738745;1.37927282655513;4.9124163499944;-1.94490064278636;"/2";133
"338";0.388803155006859;1.71181556195965;1.48223663111499;-0.223371278821246;0.0328282964014066;0.425355850583553;2.32984853826514;0.864643194304221;1.52217030398061;6.25511399776146;-0.436915165237906;"/3";133
"139";0.459557276323542;3.36840659340659;1.99193150732094;0.149668806718291;0.121294443385638;0.368664311828718;5.10543992916369;0.594520252515179;0.871351126131823;5.68530930151277;-1.79792268684609;"No change";134
"239";0.459557276323542;2.48284960422164;1.68689863022229;-0.3279581678201;0.0667552357728862;0.410968214119494;3.31648711426738;0.717828493839156;1.37989153989026;5.17591831856237;-1.2224632720906;"/2";134
"339";0.457047325102881;1.72;1.32529262825104;-1.06012074301006;0.0443616103848947;0.420904742238977;2.74795828447281;0.831315096175377;1.47885523282325;4.55641600135981;-0.335084311346365;"/3";134
"140";0.31916505344668;3.13317510548523;2.28409380216675;0.744061512851794;0.0957381271808464;0.313470202121629;4.80908309053313;0.533522041112385;NA;3.50752172940625;-3.14730512685357;"No change";135
"240";0.31916505344668;2.05186813186813;1.86079756310477;0.124174200738012;0.0568803089057719;0.365629301105493;3.0894099849454;0.673478128863211;0.867632619960705;3.91953439555646;-2.33084014150239;"/2";135
"340";0.316572359396433;1.33874239350913;1.44193410082069;-0.124158405930055;0.0427477795455414;0.390449900468862;2.40632238626349;0.791063701507812;1.48740909053102;7.03015941739486;-0.850324555552875;"/3";135
"141";0.566160755349945;3.74673866297128;1.88976299276045;-0.265209360207575;0.176244125091683;0.613404102812713;6.10553734723592;0.451188164300586;1.23153047754649;5.7405601664048;-0.722048784632595;"No change";136
"241";0.567190448541153;3.43445144280064;1.80091736007498;-0.504295641234332;0.108177610606817;0.284693229431249;4.51580852769085;0.613504679837588;1.28773664279467;5.09206041497898;-0.553303195187899;"/2";136
"341";0.566160755349945;3.06796116504854;1.68989044640938;-0.683860734025567;0.0621694446564238;0.143037291010168;3.1947743387344;0.821953673681182;1.35714270405059;4.34666961842065;-0.379626982627186;"/3";136
"142";0.583908232556881;3.7886917172466;1.87003221069658;-0.328607203979447;0.183809639164314;0.701447923702139;6.65144932597639;0.565050828432331;1.15260480612687;4.24267691521471;-1.59969198131949;"No change";137
"242";0.58472746407316;3.55264814944378;1.80430269667126;-0.523598850595987;0.12461102653342;0.48139974079177;5.35782254089063;0.640692033209413;1.25690419178331;3.75731737285616;-1.49749438027308;"/2";137
"342";0.583908232556881;3.32567049808429;1.73968275187146;-0.659993615156533;0.0808652309303351;0.42757616873389;3.95697834847926;0.703011210440498;1.28991394475093;3.20460833145866;-1.34503418650061;"/3";137
"143";0.699393086780474;3.84627683579395;1.70464796366381;-0.862479729406588;0.158941672093531;0.678615934857132;6.57222624820598;0.609950429991468;1.22079707625334;4.52151432242038;-0.413996377587995;"No change";138
"243";0.700183263173175;3.66737835711878;1.65589023636228;-1.07357009444743;0.101431442385662;0.403181973005264;5.30677931381054;0.670536074740609;1.27410575729701;4.13503757999875;-0.334891254487702;"/2";138
"343";0.699393086780474;3.47197802197802;1.60226680560465;-1.17072166925878;0.0553919045310828;0.366347724112682;3.73863546015992;0.879972816863532;1.32695224357147;3.6977228404591;-0.266031397361599;"/3";138
"144";0.649135622108595;3.82901280875774;1.77472063090406;-0.615154064853848;0.174945920230605;0.698863704187427;6.72209050488305;0.521188676508828;1.2224617332303;6.11197817404964;-0.614335150007775;"No change";139
"244";0.649985484105095;3.63975609756098;1.7227219217269;-0.820510786011642;0.117229128601173;0.451435673351733;5.51944849333282;0.702685771472979;1.28805341536496;5.36076893719281;-0.502369677742528;"/2";139
"344";0.649135622108595;3.43025362318841;1.66474781428266;-0.898794607736125;0.0708839316333529;0.4088766470231;3.98315883778819;0.675624910252877;1.34085789231383;4.79061790224338;-0.341794384873828;"/3";139
"145";0.475947846208615;3.61712869898555;2.02812753157271;0.104178149135595;0.168120373080295;0.606415428964512;5.91097877300625;0.74419897794208;1.27960891645962;4.49882351761331;-1.71170306939533;"No change";14
"245";0.475947846208615;3.19375573921028;1.90364456952349;-0.25610477801597;0.11506444499233;0.395854248939811;4.45351620954787;0.800315605882345;1.34531710540191;4.57396468949885;-1.26696985364586;"/2";14
"345";0.474920634920635;2.80104712041885;1.77460089213463;-0.492910086636452;0.0769666226631584;0.301714072098187;3.46846269543751;0.733354440657428;1.38225587839989;4.6137014025276;-0.698467430473512;"/3";14
"146";0.666360053747441;3.80660964651112;1.74266406970483;-0.682551096047043;0.162331724717496;0.641498068064909;6.28190436473221;0.709200273391663;1.30362361747335;5.78779515544886;-0.687616416842533;"No change";140
"246";0.666524531862389;3.58672771600166;1.68291862015613;-0.887160355325907;0.0999338252413175;0.369184651984842;4.91061549646266;0.788241838427098;1.32736458965043;5.05312853517881;-0.404087048053272;"/2";140
