"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"cv_psd";"fmax_psd";"Site_ID";"Method";"Type"
"3";0.129868412352047;1.57081545064378;2.492828433672;0.949549965160653;0.0534483995037966;0.375530196795705;3.13642616215756;0.707298083848276;0.920416596885066;1.86715230151627;-3.78916130568814;346;"rejection";"Obs"
"1";-0.0236397128210012;0.68792840873834;0.266230509760895;0.239362734935188;0.718038254179493;0.792584169243235;0.863972303664667;0.0418524507537343;0.83599503476691;1.26538871529025;1.14651992699339;346;"rejection";"Sim"
"3111";0.371200599528312;2.30672268907563;1.82684043080085;-0.171748863125208;0.0776814919442042;0.36233774521354;3.20089217959077;0.765338973346477;1.17894447888142;3.90409847387324;-1.66679471929127;347;"rejection";"Obs"
"11";-0.438351251977931;0.607537745517974;0.762882796153399;0.222208755360664;0.996050118546015;1.09209327277006;1.05746491699657;0.252784727637401;0.43486097627418;0.398106204110426;0.452313254759897;347;"rejection";"Sim"
"3222";0.364499988979259;2.03671970624235;1.7205692842898;-0.168866875766972;0.0529242621527778;0.244321822142491;2.52220456803245;0.797309871063919;1.46381979209319;3.62576859130972;-1.68588331585379;348;"rejection";"Obs"
"12";-1.12305126997818;-0.121252334228826;1.01207701493972;0.513036844991634;0.663751604210305;0.680114894249393;0.765508165411271;0.232531262660608;0.549610159274881;-0.571960860855261;-0.596523263328121;348;"rejection";"Sim"
"3279";0.36945954963973;2.79755391052462;2.02445944980462;0.00259516382827702;0.109199454577059;0.465818392449952;4.13802229117186;0.758287264370506;1.36476212917884;3.98677421520448;-2.00629638519811;349;"rejection";"Obs"
"13";-0.195825055203336;1.11320154898857;0.610471704681711;0.415708984894054;1.33540105194367;1.06481630180874;1.22068980270183;0.101485506457629;-0.417652918172889;-0.272351579417429;0.314907112708236;349;"rejection";"Sim"
"3290";0.35349764178593;2.69801462904911;2.03239464466544;-0.0297157220853247;0.0979572607176774;0.30514797068947;3.93186923465345;0.411313950429888;1.32166499607079;3.16917070643749;-1.99668670163784;350;"rejection";"Obs"
"14";-0.162466262340822;-0.179771421360341;0.00883837692882652;0.0271363264281499;0.0260982124894597;0.803967489639837;-0.0105866167598564;0.232144905024863;0.673677608857688;0.272179095291989;0.561109065802548;350;"rejection";"Sim"
"3301";0.429249068888709;2.60120481927711;1.80169267808958;-0.230495931372736;0.0712768736857279;0.088557368631989;3.07181691761981;0.642310789135411;1.29329367743148;3.09093974807669;-1.84810181945566;351;"rejection";"Obs"
"15";-0.512341088291299;-0.00156706629142527;0.586219643108551;0.348329221522018;0.520780717839996;0.376054348339794;0.511402922386183;0.132379156642183;-1.28525652297431;-0.274727291776928;-0.290213570677095;351;"rejection";"Sim"
"3312";0.201450617283951;0.91566265060241;1.51410373563494;0.363666218382605;0.0477628968253968;0.35396131756005;2.58203359112432;0.71175087733061;1.09635287868671;2.6202851700579;-2.6051928156625;352;"rejection";"Obs"
"16";-1.4734037141541;-0.689159578178376;1.48327489265301;1.25719405788052;0.717131391866241;1.06949394560576;1.1333571823334;0.0111389502693134;-0.728606486717814;-0.301686279399571;-0.381115310541384;352;"rejection";"Sim"
"3323";0.26608024691358;1.1859649122807;1.49451405078486;-0.0600579027753475;0.0503684585813492;0.265629678104634;2.47872074853376;0.892142157393036;1.52139526594111;3.64310640650077;-1.76220066698651;353;"rejection";"Obs"
"17";-1.60427522489676;-1.13490604674611;1.27214463479399;0.786773983804356;0.692690342844452;0.67444668987349;0.817145861141578;0.224047066514457;-0.494425349869394;-1.10877509051638;-1.32506733460533;353;"rejection";"Sim"
"3334";0.141574074074074;0.674418604651163;1.56102792147616;0.608677006840515;0.0425530133928571;0.261755669417462;2.3281909849046;0.488919029059186;1.17263986074924;2.69351109274879;-2.7637391069628;354;"rejection";"Obs"
"18";-1.59494550862266;-1.13355977635478;1.50888182590109;1.25666427768097;0.292891821441704;0.844807570365078;0.924166813621;0.148643743696268;-1.13246293192871;-0.635438565781529;-0.725512772868843;354;"rejection";"Sim"
"31";0.232241250259268;3.52338348922326;2.71940032226543;0.992743583284338;0.149523114113681;0.719451776985151;6.01852825737434;0.655019540488252;1.30832928414403;2.47712055815835;-2.46824563418208;355;"rejection";"Obs"
"19";-0.423015849636648;-0.128414078814792;0.368362091311623;0.348422321479104;-0.406805499886827;0.369387854788522;-0.148969315604488;0.138836321024486;0.192617981462024;-0.132189843442284;0.139137625513501;355;"rejection";"Sim"
"312";0.310896482067653;3.61828908554572;2.45429656311082;0.626469260743657;0.175822159075921;0.740279159149384;6.16829048113992;0.788492523732889;1.29569331281166;2.77870031118075;-1.80969386467046;356;"rejection";"Obs"
"110";-0.319906016942794;-0.00898088693663404;0.311543084288735;0.314124251653241;0.0496993658890985;0.524634947252648;0.206525943080876;0.268623863606237;-0.380429562188253;-0.637209304543007;0.084235181312752;356;"rejection";"Sim"
"323";0.373643914184455;3.55049354593774;2.25153865706353;0.272254011783528;0.179203848438513;0.697055891919974;5.74806346636563;0.776387305581279;1.30167176754086;2.40009543500321;-2.22162504852808;357;"rejection";"Obs"
"111";-0.624232801396055;-0.779569995873513;0.429762991968642;0.49684764557385;-0.616997672220467;0.78968720788419;-0.33032393913891;0.627114959623116;0.699279204760893;-0.612182177375179;0.263945343014562;357;"rejection";"Sim"
"334";0.290975056689342;2.32249674902471;2.07716052325944;0.254821831022147;0.077158856419406;0.283248774827347;3.33951179113446;0.7669323795772;1.44777704704978;2.73208493928245;-2.54895549491807;358;"rejection";"Obs"
"112";-0.602957297315976;0.196919226158423;0.731902822099824;0.54680747621425;0.521426908048007;0.557763326958582;0.687195536262195;0.026591517820927;0.686010708137253;-0.250666070263509;-0.102263322763509;358;"rejection";"Sim"
"345";0.474920634920635;2.80104712041885;1.77460089213463;-0.492910086636452;0.0769666226631584;0.301714072098187;3.46846269543751;0.733354440657428;1.38225587839989;4.6137014025276;-0.698467430473512;359;"rejection";"Obs"
"113";-0.352467612641568;0.518547414807758;0.764321429828219;0.169926793470466;0.97982783932285;0.856826781583462;0.996220371164925;-0.212561538601907;-1.10967231120799;-0.679461235041981;-0.313567530043511;359;"rejection";"Sim"
"356";0.399727891156463;2.66117065127782;1.89573735591885;-0.260992801921182;0.0838488351835832;0.259654231501175;3.26173218991441;0.398111181948064;1.34372531750313;1.87185602020877;-2.41021575718641;360;"rejection";"Obs"
"114";-0.0242968791937567;0.944726619199432;0.446976302777407;0.00577983482778284;0.958488141017866;0.694899674888962;0.88019731869579;-0.0665744397678515;0.609331684934594;-0.396208350348847;-0.0327708044588846;360;"rejection";"Sim"
"367";0.259382716049383;1;1.34945063981553;-0.2455549092436;0.0767745535714286;0.456139804373559;3.29439565440969;0.843822618312535;1.55638435985221;5.3073901924495;-1.1543011945287;361;"rejection";"Obs"
"115";-1.7520718863112;-0.456208320217159;1.73720411533287;0.866203558767706;1.27635081847452;1.27667102621509;1.36522564120376;0.133675352228086;-0.73715032159588;-0.946169188965703;-1.13961830151249;361;"rejection";"Sim"
"378";0.220895061728395;0.989795918367347;1.49981102387463;-0.0818388066720923;0.0693863157242064;0.52495013364184;3.16223040220737;0.791093199819111;1.53030682896403;4.4402532657517;-1.55274256875756;362;"rejection";"Obs"
"116";-1.6511148750619;-0.842417003544388;1.44307854654932;1.22017575450251;0.718286228718244;1.03703880977295;0.955281775058984;-0.388272895423807;-0.799803146844219;-0.799283733382761;-0.968064134242301;362;"rejection";"Sim"
"389";0.337469135802469;1.88167938931298;1.71844589260707;-0.285683260320519;0.109011036706349;0.667281328131919;4.00533437804227;0.905374322824228;1.58471612678311;5.80092375630949;-0.863540166488626;363;"rejection";"Obs"
"117";-0.37598617597663;0.54236642671333;0.619296589105663;0.354811152550992;0.878002683793253;0.93613220525478;0.869140805125142;0.536534169394827;0.451245099585478;0.189804796271566;0.172610187508867;363;"rejection";"Sim"
"3100";0.356221085950816;2.60927617709065;1.99127656902366;0.062425306147828;0.0853140303733475;0.241953119173384;3.59161237035657;0.726777058688505;1.33597028192372;2.88879472242165;-2.29700052099553;364;"rejection";"Obs"
"118";-0.432311903913526;0.713457914195454;0.771309637208274;0.532449838751066;1.10943589323452;0.689019716174223;1.08454172763219;0.0538468860755277;0.0790314467804627;-0.411204995504331;-0.124180932559432;364;"rejection";"Sim"
"3112";0.307397487577668;2.61771747805267;2.14191636753022;0.236898105032583;0.0908844068204601;0.229392107966298;3.83351863291918;0.648182117365602;0.544894987712586;3.07301892400178;-2.3560122392365;365;"rejection";"Obs"
"119";0.177354789353754;0.159526712542779;-0.0354386629850237;-0.16651327550076;0.281310737235331;0.281845384211947;0.269900129007132;-0.168060531500168;0.488195817050833;1.148784389209;1.10337593491294;365;"rejection";"Sim"
"3123";0.382463544625707;2.92190359975595;2.03335726002453;-0.109505164187699;0.117178417272457;0.564186978699888;4.391887447326;0.782381880627165;1.35344097789798;6.03945259721685;-1.18555726239067;366;"rejection";"Obs"
"120";-0.477443654033893;0.0986136434442111;0.546809278366925;0.500912723545619;0.374948482046476;0.448425927511003;0.448677908175327;-0.844102846840703;-0.725488431223655;-0.404056270370299;-0.309019660690421;366;"rejection";"Sim"
"3134";0.253532812091371;2.1832242712671;2.15306483570918;0.465924886949752;0.0859070279643196;0.365266888025934;3.91334478733852;0.644818868725634;0.796167050516547;2.41389366275077;-3.23285177872417;367;"rejection";"Obs"
"121";0.263309666001895;1.39505235841787;0.330792737543005;0.111572328988523;1.53807668525928;1.13848695440274;1.38331646165352;-0.0992671801984625;0.694249267934442;0.913810585615993;1.0866921421408;367;"rejection";"Sim"
"3145";0.186528871213556;1.95143884892086;2.34773621816875;0.69808518439943;0.0714618404143867;0.341955570592848;3.77461004232335;0.593145626187821;0.697888482254897;1.91028968855431;-3.75957818686505;368;"rejection";"Obs"
"122";0.545642580954049;1.51327400195833;0.149850083204362;0.059610474428623;1.61715104339752;0.990020075660426;1.44567591799179;-0.0117113384502571;0.777696450269999;1.06341800196304;1.19465998343844;368;"rejection";"Sim"
"3156";0.226118009901794;2;2.17984542884486;0.422272857717789;0.0743884365484481;0.25179935671168;3.49607945740641;0.587050554013347;0.534555222224154;1.63492472203079;-3.84311129947835;369;"rejection";"Obs"
"123";0.372355254368934;1.55127090814341;0.354729657386776;0.258302433872401;1.67113095393856;0.788983457546737;1.30821899594368;-0.0655177363038098;0.741600566567931;0.527189021098214;0.775315769069198;369;"rejection";"Sim"
"3167";0.310662013364716;2.60098928276999;2.12494159754785;0.206635091915959;0.087475248463385;0.246866010050588;3.71386746897138;0.547308037312032;NA;2.46479674546412;-2.91477222908802;370;"rejection";"Obs"
"124";-0.515649528950644;-0.516030587454473;0.038920643627881;0.143161360077811;-0.166111406164227;0.732232360958138;-0.0865312433270468;-0.0478621629585595;NA;0.355683144556551;0.131639235266496;370;"rejection";"Sim"
"3178";0.286096907718529;2.37180700094607;2.11507679966636;0.187257142095864;0.084384456635614;0.163825273164436;3.57241107623906;0.461565463770079;0.539281334926909;2.16767765066197;-2.76362005225702;371;"rejection";"Obs"
"125";0.402174794672967;1.48856653254736;0.259730247382785;0.0675269075993367;1.62615035205829;0.742363312113149;1.21956979013367;0.0871130113680022;0.755200047201691;0.824153775993175;1.10934759505688;371;"rejection";"Sim"
"3189";0.294745195646097;2.22528517110266;2.02152911364955;0.0879318806913386;0.0677621378214549;0.132953536740914;3.01137907064663;0.472591763668772;NA;1.92685641679998;-2.97017100847781;372;"rejection";"Obs"
"126";-0.719258335110737;-0.775440461907694;0.535437952758522;0.464437244838963;-0.348257852981342;-0.429193200136421;-0.0572554338614334;-0.0808195693006596;NA;-0.0646503746860525;-0.0530961633217864;372;"rejection";"Sim"
"3200";0.370821271722173;2.65486725663717;1.9684297357757;-0.102703038338645;0.0861059058397021;0.258944286965573;3.66031955502966;0.644244674984184;1.2936446214508;3.20729812054624;-2.00087957989788;373;"rejection";"Obs"
"127";-0.363031622478259;0.330686877605018;0.566019147241606;0.366274483848504;0.71058849903652;0.615748133133207;0.750325987680282;0.0508182801848182;-0.680729723881618;-0.346587240749373;-0.201329543552087;373;"rejection";"Sim"
"3211";0.286836385935485;2.15744892874938;2.01776978183078;0.260802257260942;0.06956104782349;0.0901163281900169;3.14016332550393;0.657792809590298;0.512916449287814;2.5943376361633;-2.69043178953997;374;"rejection";"Obs"
"128";0.30557867578151;1.30716746827562;0.385185857856157;0.200047058560153;1.45758908694235;0.768876520453148;1.20476067773193;-0.0686576057337128;0.920657190328909;1.39634643968423;1.48033005350906;374;"rejection";"Sim"
"3223";0.368458548638729;2.6476821192053;1.97211164566466;-0.116884908447618;0.0889077285561661;0.256235821231194;3.70810484827102;0.622857770247597;1.29913260618694;3.29000018992777;-1.7551831439212;375;"rejection";"Obs"
"129";-0.34046274484874;0.404679309401388;0.563088060759811;0.359393779946808;0.749463630089646;0.609261147824888;0.766469026178219;0.0133896223497602;-0.670705389030879;-0.361362643463113;-0.151502977776587;375;"rejection";"Sim"
"3234";0.441272587466359;1.95228215767635;1.4870915078541;-0.752425915607251;0.0441551927143406;0.255307602738852;2.49855883260933;0.863171298975769;1.56975300071354;4.55207355588673;-0.409908355732477;376;"rejection";"Obs"
"130";0.146365402147203;0.312191938174146;0.0770364105094689;-0.13417990398124;0.130127125802365;-0.0261759093012711;0.127420857654698;-0.606409432629198;0.16955572062174;0.16439712590188;0.244120374597964;376;"rejection";"Sim"
"3245";0.233636101499423;0.725738396624473;1.1334248315571;-0.0216367007536081;0.035943019211361;0.199491179431535;1.93273006189715;0.674161471278981;1.01633272404844;3.26954376403714;-2.05719939294611;377;"rejection";"Obs"
"131";-1.48300834247429;-1.30040431467347;1.29685567928213;0.649329175054521;0.594089898121185;0.801766952599237;0.977222232809216;-0.361648465726486;-1.10741743049176;-0.785538293603505;-0.936692242263399;377;"rejection";"Sim"
"3256";0.362048250672818;1.12062256809339;1.12986218212787;-0.596252229500858;0.0274290725021626;0.151187104537319;1.46511259687317;1;1.66185957588574;5.99973616317237;-0.506294382870265;378;"rejection";"Obs"
"132";-0.0114609886266573;-0.393108364947417;-0.349386463458122;-0.068505484508326;-0.320926785311407;-0.1965612462129;-0.428586926950701;0.294675003479774;0.410859662883021;0.499887362348299;0.277045092270707;378;"rejection";"Sim"
"3267";0.334397663424173;1.13321492007105;1.22048304036901;-0.374851035711987;0.0372376086665135;0.228378244467191;2.173344008711;0.784255187509996;1.35503096766029;4.56624374765512;-0.949470472540827;379;"rejection";"Obs"
"133";-1.43754389469602;-1.40799056975318;0.812270652273402;0.118850931973038;0.354655608891083;0.378184173783828;0.4448748469762;-0.0499376439940116;-0.764823041970702;-1.12267493951293;-1.40483131489305;379;"rejection";"Sim"
"3274";0.427736937204525;1.64923747276688;1.34955994844106;-0.545188282437821;0.0401338465073529;0.0693130402283769;2.00354947097889;0.912855752712475;1.42954484090379;3.89257745465804;-0.455364151503895;380;"rejection";"Obs"
"134";-1.18783199606795;-1.10832587868075;0.534015388764696;-0.00152966429492513;0.370551199341771;0.0227479018487907;0.26758130092923;0.173535086007356;-1.06489067828581;-0.803533702947167;-1.12781526616671;380;"rejection";"Sim"
"3275";0.372664042969233;1.68283093053735;1.50755540725844;-0.554092081059089;0.0653636259191177;0.232372945076729;2.52350646363965;0.821695166736907;1.50220434717398;5.57528195543267;-0.634529472116412;381;"rejection";"Obs"
"135";-1.3778318516203;0.280808650678447;1.38971372011091;0.0403929750357677;1.2122906342254;1.09016029798827;1.21064488949892;-0.00159689640221615;-0.0489534321851935;-0.457740335807193;-0.521343833907347;381;"rejection";"Sim"
"3276";0.255439221801441;1.62666666666667;1.85130370827954;0.116642892186482;0.0817342122395833;0.308505647492232;3.22477908693603;0.621988515184742;1.36019472525305;2.57429789809849;-2.31807535670423;382;"rejection";"Obs"
"136";-1.06080991082163;0.70334159040829;1.42149990885791;1.14836140772523;1.38751717591444;1.47300750997622;1.49621203282344;0.105131458734422;0.234955157115383;0.27821862926232;0.242727548699491;382;"rejection";"Sim"
"3277";0.444741466795376;1.94157740993184;1.47376287973315;-0.644152677619255;0.0538485657935049;0.25595466162907;2.77145268675484;0.773842660522329;1.37589828623376;4.41223289160384;-0.486761664564646;383;"rejection";"Obs"
"137";-0.640152452194942;0.282102004271955;0.796175833998772;-0.330114715501166;0.722787891689575;0.818687254802149;0.794786867566871;-0.0926071661314347;-0.964029924884091;-0.428445909620784;-0.27823220813553;383;"rejection";"Sim"
"3278";0.2569243335561;1.61396303901437;1.83766632874489;0.0756257926984854;0.0786601347081801;0.337325798141762;3.48405457950322;0.745589648290209;1.39817784303733;2.9361633515226;-2.08323576562683;384;"rejection";"Obs"
"138";-1.24516902490548;0.412394867299529;1.48672672308485;1.23679284717916;1.18148860631176;1.36122337240054;1.35657796780656;0.0644995462305607;0.0705744214451538;0.0796275178505337;-0.00689130634137352;384;"rejection";"Sim"
"3280";0.439931972789116;2.04502814258912;1.53654672237758;-0.679557181191166;0.0481476099937524;0.164054245053124;2.40645461887456;0.70047652678429;1.4473150076841;4.75393412749357;-0.491289805436175;385;"rejection";"Obs"
"139";-0.758524141773482;0.516521122179338;1.07476418091956;-0.594109630322333;1.07017807077379;0.95272503094637;1.06389047054676;0.055433598803462;-0.551367179530756;-0.269583333678674;-0.0856300537530194;385;"rejection";"Sim"
"3281";0.375487528344671;1.79345088161209;1.56367165251724;-0.323626662347555;0.0400032063989812;0.15917114049866;2.07663197336382;0.751125227066672;1.51343668297371;6.27215833284913;-0.678158040295313;386;"rejection";"Obs"
"140";-1.42806367903303;-0.428188177839396;1.04709556068256;-0.0630773226413406;0.757141669494433;0.599151943349314;0.799185564015012;0.172026001291233;-0.108616586080618;-0.64950066481145;-0.888018325353591;386;"rejection";"Sim"
"3282";0.366621315192744;1.76590330788804;1.57208815098902;-0.443377978542267;0.0504883938869665;0.2080429324971;2.61788536155797;0.577287183230542;1.49592805588744;5.21358121817876;-0.882185119387644;387;"rejection";"Obs"
"141";-1.19381504838711;0.0748388517154104;1.16798706686211;-0.156954926743531;0.984403833245534;0.879838993746363;1.00080486765388;0.277192337580599;0.406707811764681;-0.425269122375391;-0.539580021727762;387;"rejection";"Sim"
"3283";0.284027140087746;0.906166219839142;1.16015295753681;-0.266206118118862;0.0608051374846814;0.42723177674819;3.18172552489689;0.85007571079568;1.50504594434148;5.69375341598065;-1.05152894563122;388;"rejection";"Obs"
"142";-1.67145422354603;-0.751345492579083;1.60280667161909;0.617853667372166;1.26211021056727;1.15555282869459;1.33825845618966;0.139063145475552;-0.653791297884199;-1.11015811590049;-1.30406481952643;388;"rejection";"Sim"
"3284";0.21684011835527;0.830508474576271;1.34287783297662;-0.127286123354432;0.0537324194814645;0.301645769276029;2.75699163330238;0.604221044747308;1.07401041724457;3.0999378357848;-2.10078805988701;389;"rejection";"Obs"
"143";-1.50534282235561;-0.60410663046326;1.68884613989419;1.06543675303896;1.26819557523996;1.40332660343121;1.57579073641837;0.0658726045738482;-0.767418095930975;-0.429582951475212;-0.535048599411321;389;"rejection";"Sim"
"3285";0.211738598102234;0.607476635514019;1.05396122836777;-0.0515460750301228;0.0584460688572304;0.414808838726147;3.27930557537253;0.835834049462058;1.50016952553355;4.40202882296868;-1.68722574154622;390;"rejection";"Obs"
